Recursive Coverage Report Summary Data by DU

=================================================================================
=== Design Unit: work.AHB5_Slave_Memory
=================================================================================
    Enabled Coverage              Bins      Hits    Misses  Coverage
    ----------------              ----      ----    ------  --------
    Assertions                       5         4         1    80.00%
    Branches                        30        26         4    86.66%
    Conditions                       4         2         2    50.00%
    Directives                       5         4         1    80.00%
    Expressions                      4         0         4     0.00%
    Statements                      55        50         5    90.90%
    Toggles                        765       615       150    80.39%


Total Coverage By Design Unit (filtered view): 66.85%

